"keywords";"keyword_type"
"augmented reality";"core"
"collaborative virtual environment";"core"
"collaborative virtual environments";"core"
"extended reality";"core"
"haptic feedback";"core"
"mixed reality";"core"
"remote collaboration";"core"
"user study";"core"
"virtual environments";"core"
"virtual reality";"core"
"collaborative virtual";"core"
"immersive virtual";"core"
"shared virtual";"core"
"shared virtual environment";"core"
"virtual environment";"core"
"collaborative design";"medium"
"collaborative learning";"medium"
"collaborative work";"medium"
"digital twin";"medium"
"haptic interaction";"medium"
"head-mounted displays";"medium"
"human-computer interaction";"medium"
"interaction techniques";"medium"
"network delay";"medium"
"social interaction";"medium"
"social presence";"medium"
"social virtual reality";"medium"
"social vr";"medium"
"tactile feedback";"medium"
"tangible interaction";"medium"
"tangible interface";"medium"
"tangible interfaces";"medium"
"user experience";"medium"
"user interface";"medium"
"virtual world";"medium"
"artificial intelligence";"medium"
"assembly tasks";"medium"
"collaborative environment";"medium"
"collaborative haptic";"medium"
"collaborative tasks";"medium"
"collaborative virtual reality";"medium"
"comprehensive review";"medium"
"computer interaction";"medium"
"design process";"medium"
"design space";"medium"
"distributed virtual";"medium"
"enables users";"medium"
"envir onment";"medium"
"experimental study";"medium"
"face-to-face collaboration";"medium"
"force feedback";"medium"
"future research";"medium"
"great potential";"medium"
"haptic collaboration";"medium"
"haptic collaborative";"medium"
"haptic collaborative virtual";"medium"
"haptic collaborative virtual environments";"medium"
"haptic communication";"medium"
"haptic device";"medium"
"haptic interactions";"medium"
"haptic interface";"medium"
"haptic interfaces";"medium"
"haptic rendering";"medium"
"haptic virtual";"medium"
"haptic virtual environment";"medium"
"head-mounted display";"medium"
"immersive environment";"medium"
"immersive experience";"medium"
"immersive technologies";"medium"
"immersive virtual environment";"medium"
"immersive virtual environments";"medium"
"immersive virtual reality";"medium"
"learning environment";"medium"
"lessons learned";"medium"
"literature review";"medium"
"machine learning";"medium"
"multiple users";"medium"
"mutual awareness";"medium"
"network traffic";"medium"
"networked virtual";"medium"
"object manipulation";"medium"
"paper presents";"medium"
"paper proposes";"medium"
"physical environments";"medium"
"physical objects";"medium"
"physical space";"medium"
"physical tasks";"medium"
"physical world";"medium"
"previous research";"medium"
"product development";"medium"
"reality applications";"medium"
"reality environment";"medium"
"reality environments";"medium"
"reality system";"medium"
"reality systems";"medium"
"reality technologies";"medium"
"reality technology";"medium"
"reality virtual";"medium"
"reality virtual reality";"medium"
"recent years";"medium"
"remote collaborative";"medium"
"research agenda";"medium"
"results demonstrate";"medium"
"results showed";"medium"
"shared virtual environments";"medium"
"social virtual";"medium"
"support collaborative";"medium"
"verbal communication";"medium"
"virtual object";"medium"
"virtual objects";"medium"
"virtual reality applications";"medium"
"virtual reality environments";"medium"
"virtual reality system";"medium"
"virtual reality systems";"medium"
"virtual space";"medium"
"virtual worlds";"medium"
"visual feedback";"medium"
