Coder,Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,XC1.8.3_Interaction(old),XC1.8.3_Task_desc (will remove),C1.8.3_Intearction_code,C1.8.4_DoF_of_task,(old)C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1 Coded,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.1_Actuation,C2.3.2_Haptic model?,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,(old)C2.5.2_DoF of haptic device (force feedback),C2.5.3_Physical_properties,XC2.5.4_Purpose,C2.5.4_Purpose,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,XC3.2_IVs description,XC3.1.2_IVs code(s),C3.2_IV,C3.2.1_Levels,"XC3.3.1_DVs: Performance, behavioral, and continuous measure",C3.3.1_DVs: Code Performance etc,XC3.3.2_DVs: self-reports,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,XC3.4.2_Are the hypotheses haptic-related?(repeated with 3.4.1),C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,XC3.6.2_Grouping method ,XC3.6.3_Users grouped together or with the experimenter,C4.1_Hypothesis supported,Concluding_statement,WJ_CS_code,J_CS_code,C4.2_Benefit_of_using_haptic_feedback_in_CVEs,XBenefit_code,C4.2_Benefit_code,C4.3_Limitation_of_using_haptic_feedback_in_CVEs,XLimitation_code,C4.3_Limitation_code,C4.4_Future_work,XFuture_work_code,C4.4_Future_work_code,XOthers
J,Touching Virtual Humans: Haptic Responses Reveal the Emotional Impact of Affective Agents,2023,"Ahmed, Imtiaj and Harjunen, Ville and Jacucci, Giulio and Ravaja, Niklas and Ruotsalo, Tuukka and Spapé, Michiel",https://doi.org/10.1109/TAFFC.2020.3038137,Synchronous,Remote: with virtual agent,2,Asymmetric,Person,Telepresence,VR,Communication,Optimizing,Touch,Touch the agent,Social touch,N/A (touch),N/A (touch),Virtual hand(s),Custom,An input device similar to a blood pressure measure.,Customized,Passive,,Grounded,Hand,Passive,0,0,Touch,Social touch,Social interaction,Asymmetric,Unilateral,User,We studied whether the emotional expression of a virtual agent would affect the way humans touch the agent.,Study: avatar,"- Agents (4, 2 males/2 females)
- Emotion expressed by agent (7)
- Variation in emotion expression (3)
-> 84 combinations repeated twice","- Virtual agents
- Avatar representation","Avatar appearance, Affective experience","- Agents (4, 2 males/2 females)
- Emotion expressed by agent (7)
- Variation in emotion expression (3)
-> 84 combinations repeated twice","- fEMG
- EDA
- ECG
- Haptic touch from user
    - Response onset
    - Pressure duration
    - Pressure max","Behavior: Physical responses, Force applied","- User affect
- Perception of the emotion",Affect,Constant,"H1. The agents' emotional expressions affect users' affective states.
H2. The agents' emotional expressions affect users' haptic responses.
H3. The agents' emotional cues have consistent haptic responses from users.",Social cues affect social touch,Yes (from user?),Within,18,36 participants paired with 1 virtual agent,Single,With virtual agent,Yes,"""Our study shows that the way we touch a virtual agent’s arm is affected by how we feel, and how we perceive the agent to feel.""",,"Social touch, Virtual agent, Affect, Social perception","""Even a basic, affordable haptic interface is thus shown to provide remarkably rich information on a user’s ongoing emotional state.""",Haptic can convey emotional information during interaction,Emotional information,Our haptic input device was designed using low cost components obtained from a commercial blood pressure measurement device with limited capability to detect haptic features.,"Lack of haptic resolution (spatial, frequency)",Insufficient haptic resolution,Similar pressure sensors could be used to infer a person’s emotional reactions and stress level in various demanding tasks.,Need to test on more complex task,More complex task,
WJ,Object manipulation in visuo-haptic augmented reality with physics-based animation,2010,"Aleotti, Jacopo and Denaro, Francesco and Caselli, Stefano",https://doi.org/10.1109/ROMAN.2010.5598707,Synchronous,Co-located,2,Asymmetric,Object,Shared workspace,AR,Performance,Optimizing,Object manipulation: pointing,The objective of the task is again to move a rigid object (yellow box) towards a goal configuration.,Manipulating object,3,3 (translational),Pointer,Novint Falcon,Novint Falcon,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,To represent rigid and deformable objects,,Asymmetric,Unilateral,Virtual object,The paper proposes an approach for physics-based AR with haptic interaction to improve the efficiency in the virtual environment.,Evaluation: interaction technique,Force feedback (with/without),,Feedback,"Haptic, no haptic","task completion time, error (when the target cube falls on the floor)","Performance: Time, Errors",N/A,N/A,IV,Force feedback should help the user and allow faster and more effective performance even in AR tasks,Haptic improves performance and experience,Yes,Within,10,20 participants paired together,Paired,With participants,Yes,Experiments have confirmed that force feedback reduces task completion time.,,"Force feedback, Performance","Force feedback complements visual feedback and facilitates interaction when the virtual proxy is visually occluded, providing additional information when visual is unavailable.",Haptic improves interaction in VE.,Improve performance,N/A,N/A,N/A,N/A,N/A,N/A,
J,Effects of network delay on a collaborative motor task with telehaptic and televisual feedback,2004,"Allison, Robert S. and Zacher, James E. and Wang, David and Shu, Joseph",https://doi.org/10.1145/1044588.1044670,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (2DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,3 (translational),No visual representation,Custom,Custom built Force Feedback,Customized,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Trainer guiding trainee's movement,Guidance,Asymmetric,Bilateral,UI,In this study we consider the effects of varying amounts of simulated constant delay on the performance of a simple collaborative haptic task.,Study: latency,"- Error feedback (Haptic/Visual)
- Network delay (3)","- Feedback
- Delay","Feedback, Delay","- Haptic, visual
- 3 different delays","- Performance (TCT)
- Force error
- Time spent on force error","Performance: Time, Errors",N/A,N/A,IV,"- Feedback influences task completion
- Delay influences task completion",Haptic improves performance and experience,Yes ,Within,6,12 participants paired with 1 experimenter,Single,With experimenter,Yes,"""In this study we demonstrated that delays, typical of those encountered in long distance telecollaboration, inhibit the ability of users to collaborate using haptic or visual communication at a distance.""",,"Delay, Performance","""We have shown that a cooperative task can be performed based solely on haptic communication between the users even in the presence of simulated network delay.""",Haptic information is sufficient for cooperative task,Alternative communication modality,"""In virtual environments and tele-operators, latency is universally detrimental resulting in mismatch between motor action and simulated sensory feedback.""",Latency,Latency,"""In general, it may also be necessary to consider the effects of the signal processing involved in predictive filtering."" -> Delay",reduce latency,Overcome latency,
F,Intermodal audio–haptic intermodal display: improvement of communication and interpersonal awareness for collaborative search tasks,2015,"Ammi, Mehdi and Katz, Brian",https://doi.org/10.1007/s10055-015-0273-5,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Co-annotation,No visual input,Performance,Optimizing,Pointing,-,Pointing,2,2,No visual representation,3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,Motor,,Grounded,Hand,Vibrotactile,3,3 (translational),Force,Identifiyng target,,Symmetric,Unilateral,Environment,The paper studies a new sensorial communication strategy based on the development of a spatial binaural audio-ìhaptic intermodal display which aims at improving communication and working efficiency during synchronous collaborative tasks.,Study: communication modalities,"Haptic only, audio haptic ",multimodal vs haptic only,Feedback,"Haptic only, audio+haptic","Task completion time, performance, verbal communication number","Performance: Time, Score
Behavior: Social interaction",Questionnaire sur efficacité et comprehension de l'outil ,"Usability, User experience",Constant,"H1. The intermodal display improves overall performance.
H2. The intermodal display reduces the need for verbal.
H3. The use of the intermodal display is easy to understand communication between partners.",Multimodal is better than haptic alone.,Yes,Within,12,24 participants paired together,paired,together,Yes,,,"Haptic communication, Performance",Intermodal (haptic and audio) display play the role of a communication tool reduce the need of verbal communication. Improve target searching (time and accuracy). ,Haptic and audio can reduce the need of verbal.,Alternative communication modality,the approach introduces some communication conflicts during steps presenting high coupling between partners what reduces the efficiency of the group.,May encounter communication conflicts,Communication conflict,addition of low-amplitude harmonic components which can be varied in order to provide both audio and haptic variations while maintaining the same fundamental frequencies.,Explore more diverse haptic feedback,Increase the haptic resolution,
J,I’m in control! Transferring object ownership between remote users with haptic props in virtual reality,2021,"Auda, Jonas and Busse, Leon and Pfeuffer, Ken and Gruenefeld, Uwe and Rivu, Radiah and Alt, Florian and Schneegass, Stefan",https://doi.org/10.1145/3485279.3485287,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared workspace,VR,Conflict-resolution,Optimizing,Object manipulation,-,Manipulating object,N/A (touch),N/A (touch),Virtual hand(s),Custom,Passive props,Customized,Passive,,Prop,Hand,Passive,0,0,Shape,Manipulation,Manipulation,Symmetric,Bilateral,UI,We explored how taking over ownership of virtual objects can influence collaboration.,Evaluation: interaction technique,"- Object ownership (Single vs Shared)
- Collaboration techniques (Baseline/Instruct/Copy/Cut)","- Ownership
- Collaboration","Interaction technique (Ownership), Interaction technique (Collaboration)","- Single, Shared
- Baseline, Instruct, Copy, Cut","- Performance (TCT)
- Interaction duration","Performance: Time
Behavior: Social interaction","- UX
- Verbal com needed
- User feedback
- Ranking of collaboration techniques","User experience, Collaboration, Preference",Constant,N/A,N/A,N/A,,6,12 participants paired together,Paired,Together,N/A,"""We explored different ways to use haptic props in VR for remote collaboration.""",,Interaction methods,"""We explored how collaborators can use haptic props to share knowledge if they cannot take over ownership of virtual objects.""",Proposed interaction technique improves communication with haptic props,Artifact for haptic collaboration,"""We investigate haptic props with a particular form factor and made of a particular material. [...] [Collaboration] may be perceived differently when the size of haptic props and virtual objects differ.""",Single haptic prop lacks of diversity,Insufficient haptic resolution,"""Future investigations could focus on enabling more generic forms [for haptic props] that make use of dynamically fabricated or even shape-changing objects.""",Explore more diverse haptic props,Increase the haptic resolution,
F,Virtual interpersonal touch: Haptic interaction and copresence in collaborative virtual environments,2007,"Bailenson, Jeremy and Yee, Nick",https://doi.org/10.1007/s11042-007-0171-2 ,Synchronous,Remote: with virtual agent,2,Asymmetric,Person,Shared experience,VR,Performance,Optimizing,Pointing,virtual agent,Social touch,3,3,Pointer,3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,represent the touch feedback,,Asymmetric,Unilateral,Virtual agent,The current study had two goals. The first was to examine how people virtually touch representations of other people inside of CVEs. The second goal was to attempt to use haptic devices as a benchmark for copresence.,Study: avatar,,,Avatar appearance,"Gender, Appearance",,Behavior: Force applied,-,N/A,Constant,N/A,N/A,N/A,within,40,40 participants paired with virtual agents,-,-,N/A,People interact haptically with virtual people in a measurably different manner from other nonhuman objects.,,Social touch,Haptic feedback can be a behavioral metric for co-presence,Haptic as a metric,Metric,The task is not a real social touch,more ecological setup,Simplified task,Explore different social touch scenarios.,explore more diverse scenarios,Application,
J,An experimental study on the role of touch in shared virtual environments,2000,"Basdogan, Cagatay and Ho, Chih-Hao and Srinivasan, Mandayam A. and Slater, Mel",https://doi.org/10.1145/365058.365082,Synchronous,Remote: different rooms,2,Asymmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,3,No visual representation,3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3,Force,Force feedback while co-manipulating,,Symmetric,Bilateral,User,"The goals of the study are (1) to assess the impact of force feedback on task performance, (2) to better understand the role of haptic communication in human-human interactions, (3) to study the impact of touch on the subjective sense of collaborating [...], and (4) to investigate if gender, personality, or emotional experiences of users can affect haptic communication in SVEs.",Study: communication modalities,"- Feedback (V/VH)
- Order","- Feedback
- Order",Feedback,"Haptic, no haptic","- Performance (TCT)
- Time spent on error","Performance: Time, Errors","- Copresence
- Performance self-assessment
- Emotional reaction
- Personality profile
- Assessment of the other","Social presence, Performance, Affect, Collaboration, Personality",IV,N/A,N/A,N/A,,10,10 participants paired with 1 experimenter,Single,With experimenter,N/A,"""This paper reports the results of an experimental study conducted to examine the extent to which haptic communication, in addition to the usual visual feedback, influences the task performance and sense of togetherness between remote participants, subject’s perception of the remote partner’s gender, and expert behavior (which includes social anxiety and self-confidence, dexterity, and patience) in an SVE.""",,"Performance, Social perception, Social presence","""The results obtained suggest that haptic feedback affects significantly the task performance and the sense of togetherness.""",Haptic influences collaborative performance and experience,Improve performance and experience,"""The haptic interaction model used in this study [...] was simple""",More complex haptic model,Insufficient haptic resolution,"""A more sophisticated interaction paradigm can be developed to understand the underlying motor control, cognitive, and perceptual processes that occur during these interactions.""",explore more diverse scenarios,Application,
WJ,Supporting parent-child collaborative learning through haptic feedback displays,2019,"Beheshti, Elham and Borgos-Rodriguez, Katya and Piper, Anne Marie",https://doi.org/10.1145/3311927.3323137,Synchronous,Co-located,2,Symmetric,Workspace,Shared experience,Screen (2DVE),Performance,Maximizing,Touch,Learn about electrical circuits in four tasks. (correct answers),Problem-solving,N/A (touch),N/A (touch),No visual representation,Variable Friction Haptic Display,"Tanvas Tablet, a variable friction haptic display.",Off-the-shelf,Electromagnetic,,Grounded,Fingertip,Tactile,1,1 (vibrotactile),Texture,Presenting currents in VE,,Symmetric,No communication,Virtual object,The paper investigates how children perceive haptic feedback and how these experiences should be designed for collaborative learning.,Study: learning,"Different levels of feedback (strong, soft, none)",,Feedback,"Strong, soft, no haptic","Time, position error, mean collision number.","Performance: Time, Errors, Precision",Self made questionnaire (5-point Likert scale). no reference to the questionnaire.,User experience,IV,N/A,N/A,N/A,Between,40,80 participants paired together,Paired,With participants (parent and child),N/A,Our analysis shows that dyads in the haptic condition performed slightly better when predicting their answers to learning tasks. ,,Learning,Enhance collaborative experiences.,Haptic enhances collaborative experiences,Improve experience,"However, we found that haptic feedback introduced new complexities for how dyads perceived and discussed the exhibit content.",Participants need to learn the haptic communication.,Learning curve,How haptics affect collaborative learning.,Explore learning in haptic collaboration.,Learning,
WJ,Impact of Multimodal Instructions for Tool Manipulation Skills on Performance and User Experience in an Immersive Environment,2024,C. Simon and M. Boukli-Hacene and F. Lebrun and S. Otmane and A. Chellali,https://doi.org/10.1109/VR58804.2024.00087,Synchronous,Remote: different rooms,2,Asymmetric,Object,Remote expert,VR,Performance,Optimizing,Object manipulation,"A trainer guides a trainee to move and manipulate a sphere (pick and place task), (trainer, trainee)",Steering,2,2 (translational),Virtual hand(s),3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Guidance force,,Asymmetric,Unilateral,User,How a teacher can effictively assist learners in achieving the correct amplitude of tool movements using multimodal instructions? Which combination of modalities is best suited for [instruction delivery] considering performance and user experiences?,Study: communication modalities,"4 guidance modalities:
V+H / V+A /
H+A / H+V+A
A=Audio, V=Visual, H=Haptic",Communication modality,Feedback,"Visual+haptic, visual+audio, haptic+audio, all three","TCT, 
MDE (Mean Distance Error), 
Quality of tool trajectory","Performance: Time, Errors, Precision","- a 7-point likert scale questionnaire assessing the sense of presence, social presence, co-presence, participant learning experience; The questions were extracted from peer-reviewed internation publications and adapted for our study (Nowak and Biocca; Basogan et al.; Simon et al.)
- mental workload (NASA-TLX)","Presence, Social presence, Workload",IV,"H1. Visual haptic: H+V and H+V+A would have best performance
H2. Mental workload decreases with V+H+A instead of bimodal conditions
H3. Audio: A+H and A+V have better UX w/ self-reports",Haptic improves performance and experience,Yes,Within,32,32 participants paired with 1 experimenter,"Single (as trainee, they all received the same pre-recorded instruction movement)",With experimenter,Semi,"- it is unsurprising that the visual-haptic combination was found to be the most efficient in the current study
- the verbal instructions may interfere with information received from the other combined modality (visual or haptic), leading to a decreased accuracy performance.
- the participant experienced a higher sense of presence, copresence, and social presence and a better learning experience with the combination of the three modalities.
- participants preferred the three modalities",,"Social presence, Performance","
V+H was best for performance, 
V+H+A was best preferred",Multimodal is better than single sensory input.,Improve performance and experience,Learning was not considered in the study,Participants need to learn the haptic communication.,Learning curve,How multimodal influences the instructor's experience.,Consider different roles,Collaborators,"pre-recorded, control ~0"
J,Incomplete information about the partner affects the development of collaborative strategies in joint action,2019,"Chackochan, Vinil and Sanguineti, Vittorio",https://doi.org/10.1371/journal.pcbi.1006385,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Pointing,Pointer/No visual representation (condition),Pointing,2,2 (translational),Pointer,Novint Falcon,Novint Falcon,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Force feedback while co-manipulating,,Symmetric,Bilateral,User,How would the collaboration be affected if information about their partner were unreliable or incomplete?,Study: asymmetric information,Feedback (H/VH/H+Partner visible - PV),Feedback,Feedback,"Haptic, haptic+visual, haptic+partner visible (visual2)","- Minimum distance 
- Average interaction force","Performance: Score
Behavior: Force applied",N/A,N/A,Constant,"H1. Performance improves with time
H2. Performance is affected by Feedback about partner",Haptic improves performance and experience,No,,30,30 participants paired together,Paired,Together,Yes,"""We found that incomplete information about the partner affects not only the speed at which collaboration is achieved (less information, slower learning), but also the actual collaboration strategy.""",,"Social perception, Performance",N/A,N/A,N/A,Insufficient information to figure out the partner's goals,Require more information to infer user's intention,Hard to interpret collaborative dynamics,"""Future experiments, possibly involving generalization to other tasks or interacting with a virtual partner will be necessary to clarify this important point.""",Explore more complex tasks,More complex task,
